rackM5_X ,rackM5_Y ,rackM5_Z ,rackM1_X ,rackM1_Y ,rackM1_Z ,rackM2_X ,rackM2_Y ,rackM2_Z ,rackM6_X ,rackM6_Y ,rackM6_Z ,rackM3_X ,rackM3_Y ,rackM3_Z ,rackM4_X ,rackM4_Y ,rackM4_Z,rampM3_X,rampM3_Y,rampM3_Z,basketM2_X,basketM2_Y,basketM2_Z,basketM1_X,basketM1_Y,basketM1_Z,rampM1_X,rampM1_Y,rampM1_Z,basketM3_X,basketM3_Y,basketM3_Z,rampM2_X,rampM2_Y,rampM2_Z
273.9043274,1521.715454,22.64433289,60.16004562,1522.497803,15.86052322,7.017904758,1255.932739,25.80075455,657.5656128,-573.4573975,468.2314453,669.0442505,322.6616516,101.4017639,1210.366211,320.7340698,103.2215424,-35.69050217,950.1764526,27.74092865,-53.72632217,502.9411011,31.81560326,-105.4298172,881.4986572,28.54418945,-107.3200073,775.1289673,28.56903839,-106.4681473,662.2371216,30.20084953,-106.9088974,553.1723633,31.21946335
273.9140015,1521.661377,22.6305275,60.23551178,1522.340332,15.77806473,7.016031265,1255.92334,25.79302979,657.5488281,-573.4338379,468.2336121,669.0362549,322.6130676,101.4666443,1210.359619,320.7427063,103.1960144,-35.68793869,950.1665649,27.74947357,-53.74708557,502.9715576,31.81874657,-105.4318314,881.4885864,28.55335236,-107.3036346,775.1463623,28.56295776,-106.3980789,662.2775879,30.09337997,-106.9100418,553.1704102,31.20980453
273.8537903,1522.050781,22.87454224,60.18744278,1522.514404,15.81557846,7.017203331,1255.933472,25.77831841,657.550415,-573.4330444,468.2308044,669.0232544,322.6109924,101.4426498,1210.348511,320.7523499,103.2216721,-35.67720795,950.1531982,27.77565002,-53.62456512,503.0691528,31.61966133,-105.4189835,881.4950562,28.54519463,-107.3120728,775.135498,28.56249237,-106.4030914,662.2866821,30.09375954,-106.9186478,553.1817017,31.22037125
273.7175293,1522.318604,23.12162209,60.16275024,1522.453003,15.97697163,7.020456314,1255.939209,25.79147339,657.5625,-573.4589844,468.2367249,669.1046143,322.8164063,101.200325,1210.327759,320.7491455,103.2031097,-35.71291733,950.1490479,27.78265381,-53.57546616,503.1402588,31.51060295,-105.4330597,881.4932861,28.5445385,-107.3126831,775.1192017,28.55594063,-106.3552017,662.2565308,30.0918026,-106.9658737,553.1201782,31.31365776
273.8098145,1521.976563,22.89317894,60.18796539,1522.178711,16.17633629,6.835087776,1255.928589,26.00263405,657.5703735,-573.4500122,468.2545471,669.2880859,322.6677246,101.3862762,1210.339966,320.7585449,103.2196579,-35.71562958,950.338501,27.60773659,-53.70104599,502.9456787,31.80096054,-105.435318,881.4857788,28.55100822,-107.3246841,775.133606,28.57567596,-106.3825455,662.2659302,30.08886337,-106.9000702,553.1615601,31.20898056
274.04422,1522.029785,22.48555374,60.17537689,1522.23584,16.18738937,6.832942486,1255.919434,26.0157299,657.5494385,-573.4343872,468.2366028,669.1344604,322.8149109,101.1856613,1210.326294,320.7476807,103.2076263,-35.70599747,950.3347778,27.60985756,-53.6120224,503.0226746,31.65998268,-105.429245,881.4882813,28.54470062,-107.3166275,775.1367188,28.57324219,-106.3666916,662.2493286,30.09040451,-106.8924866,553.1759033,31.20059204
273.9033813,1521.698242,22.62274551,60.18740845,1522.200439,16.17458916,7.015520573,1255.934692,25.77469254,657.5566406,-573.4249268,468.2510681,668.7468262,322.5529785,101.5431976,1210.326782,320.750885,103.2031555,-35.54525375,950.2090454,27.57973099,-53.61925507,503.0741577,31.61262703,-105.4269028,881.4923706,28.55187035,-107.3187256,775.1329956,28.55979538,-106.39431,662.2752075,30.08972931,-106.9544754,553.1262207,31.30051041
273.9358826,1521.985352,22.66074944,60.20459366,1522.19458,16.19928169,7.015117168,1255.935303,25.7737236,657.564209,-573.4581909,468.233551,669.0410156,322.6500244,101.4002228,1210.343262,320.7240906,103.2102737,-35.69696045,950.2086182,27.71707344,-53.70192719,502.9213562,31.82724571,-105.4323959,881.4874268,28.55047035,-107.3159866,775.1292114,28.56557465,-106.4059448,662.2738647,30.0979023,-106.9109879,553.1768799,31.21937752
273.9777527,1521.681152,22.54137611,60.18135452,1522.278076,16.21224594,7.01211834,1255.911377,25.78264236,657.5656128,-573.4573364,468.2318726,669.1117554,322.8023682,101.1937561,1210.345215,320.751709,103.2092133,-35.69138718,950.34729,27.57555962,-53.55882263,503.1261597,31.49289322,-105.434761,881.4876709,28.55542564,-107.3240051,775.1322021,28.56918144,-106.3874512,662.2792969,30.09104919,-106.9151535,553.1710815,31.21517944
273.7033691,1522.279419,23.1396656,60.20322037,1522.220337,16.1478138,7.017511368,1255.941772,25.78712273,657.5618286,-573.460144,468.2421265,668.7462769,322.5021667,101.597168,1210.350952,320.7441711,103.2144318,-35.5532608,950.1889038,27.58671951,-53.61535645,503.0703735,31.6099472,-105.3848801,881.6160278,28.39116478,-107.3254623,775.1347046,28.55158997,-106.4107971,662.2851563,30.09899712,-106.9706726,553.1240234,31.32155609
273.7514648,1522.106201,23.03521538,60.22963333,1522.190186,16.11161613,6.847506523,1255.914307,25.96785545,657.5541992,-573.4269409,468.2593689,669.0594482,322.6307373,101.4424591,1210.35498,320.7444153,103.2062836,-35.67258453,950.1431885,27.75709724,-53.69779587,502.9289246,31.81957436,-105.4247284,881.5045166,28.54140282,-107.3142319,775.1554565,28.56711769,-106.4020309,662.2785034,30.10582161,-106.9602127,553.1412354,31.30072021
273.7220154,1522.309937,23.11353683,60.11506653,1522.381836,16.22911263,6.877555847,1255.934814,25.93588066,657.5467529,-573.4356079,468.2414551,669.0446777,322.673584,101.3922348,1210.331909,320.7406311,103.1941376,-35.6988411,950.1595459,27.76517105,-53.62133789,503.0732117,31.59827232,-105.4248428,881.5026855,28.54945183,-107.3025818,775.1384277,28.55298233,-106.4071655,662.2733154,30.10527611,-106.9053726,553.1722412,31.20722008
