rackM5_X ,rackM5_Y ,rackM5_Z ,rackM1_X ,rackM1_Y ,rackM1_Z ,rackM2_X ,rackM2_Y ,rackM2_Z ,rackM6_X ,rackM6_Y ,rackM6_Z ,rackM3_X ,rackM3_Y ,rackM3_Z ,rackM4_X ,rackM4_Y ,rackM4_Z,rampM3_X,rampM3_Y,rampM3_Z,basketM2_X,basketM2_Y,basketM2_Z,basketM1_X,basketM1_Y,basketM1_Z,rampM1_X,rampM1_Y,rampM1_Z,basketM3_X,basketM3_Y,basketM3_Z,rampM2_X,rampM2_Y,rampM2_Z
280.0628357,1528.515503,22.53752708,63.14374924,1528.262451,14.19738197,13.58264256,1261.419189,24.85069084,-30.8149662,957.3865356,26.66140366,-46.97034073,510.0523682,30.86192322,-100.0144272,888.5657349,27.66225815,-101.9690247,781.7736816,27.79086876,-99.75247192,670.4669189,29.4180584,-101.3690872,559.6063843,29.78505898,666.4616089,-562.7699585,463.4160461,673.7947388,333.931427,99.46577454,1216.547974,335.594696,102.1557846
280.0170288,1528.281982,22.51758957,63.20667267,1527.952148,14.4298811,13.31013012,1261.275146,25.11806679,-30.75870132,957.4553223,26.5241127,-47.14439011,509.8362122,31.20806694,-100.0332565,888.5891113,27.6703186,-101.9584427,781.7857666,27.80171013,-99.69444275,670.4060059,29.41794586,-101.4966354,559.5578613,29.96035004,666.4718628,-562.769043,463.4189148,673.8052979,333.9230347,99.46866608,1216.541138,335.6054382,102.1735611
279.9892883,1528.364258,22.58360863,63.60453415,1526.997559,14.15579987,13.63798714,1261.41626,24.79535103,-31.01102638,957.538147,26.688797,-46.98609924,510.0574951,30.8708992,-100.0286179,888.5752563,27.67226219,-101.9524078,781.7734375,27.81621742,-99.7182312,670.394104,29.45296478,-101.3621979,559.6309814,29.79030609,666.461792,-562.7711182,463.4187012,673.8027344,333.9436035,99.47626495,1216.558472,335.5976563,102.1546402
280.0537109,1529.105225,22.64709663,63.71751404,1526.534668,14.31251812,13.3024168,1261.287354,25.1506958,-30.81712151,957.3659668,26.6669178,-47.15505981,509.8482056,31.22459602,-100.0366669,888.579895,27.6628933,-101.9523621,781.7904053,27.81212807,-99.73431396,670.4525146,29.40372086,-101.3965302,559.6290894,29.80735779,666.4616699,-562.7714233,463.4190063,673.7819214,333.9261169,99.45175171,1216.575806,335.5892944,102.1287613
280.0087585,1528.478271,22.58664894,0,0,0,13.64295197,1261.423096,24.80908203,-30.87954903,957.3721313,26.73439026,-47.05334091,509.9163818,31.08138275,-100.0220261,888.5750122,27.67368126,-101.9448776,781.7868042,27.80058861,-99.65353394,670.31073,29.46675301,-101.4868088,559.5522461,29.96336555,666.4506226,-562.7379761,463.4403992,673.7964478,333.9441528,99.42893982,1216.574707,335.5886536,102.1324158
280.2022705,1528.592651,22.28160667,0,0,0,13.35962868,1261.264038,25.05217743,-30.9896946,957.5249634,26.69662666,-47.039505,509.914093,31.05800247,-100.0347519,888.5744629,27.66156387,-101.9403076,781.7784424,27.82141113,-99.69146729,670.4107056,29.41043282,-101.3625259,559.6054077,29.80632973,666.458313,-562.7714844,463.4212341,673.7889404,333.9465332,99.45250702,1216.567017,335.5917969,102.1343384
280.0006104,1528.362671,22.59981918,63.16493225,1528.011841,14.11599064,13.58541203,1261.418823,24.8761425,-30.74089241,957.4708252,26.48554802,-47.15196228,509.8441162,31.21722794,-100.0171661,888.5845337,27.65331459,-101.9602966,781.7784424,27.81345749,-99.64233398,670.3134766,29.48179817,-101.5654831,559.4188232,30.14590454,666.473877,-562.7600708,463.4313354,673.7860718,333.9415894,99.46261597,1216.577881,335.5822449,102.1171265
279.8069458,1528.719604,22.97097778,63.08831024,1528.093872,14.22004986,13.43932343,1261.280273,24.98888779,-30.98867607,957.4981079,26.69827843,-47.04227066,509.9216614,31.05396652,-100.0322189,888.5598755,27.6772747,-101.9580688,781.7820435,27.82441711,-99.65296173,670.3148193,29.46639252,-101.4009628,559.6171875,29.82414055,666.4429321,-562.7490234,463.4228516,673.5935669,333.8959961,99.51194,1216.602417,335.5863342,102.1419373
279.9985657,1528.708984,22.66282845,63.99782562,1526.168945,14.59066391,13.60020351,1261.399414,24.8377018,-30.97623444,957.5391846,26.66106796,-47.03952026,509.9307556,31.06049919,-100.0093842,888.5749512,27.65322113,-101.9616699,781.7753296,27.81901741,-99.75176239,670.5214233,29.34445572,-101.3654099,559.6063232,29.80015373,666.4614868,-562.7711792,463.4189453,673.8146973,333.9394836,99.44429779,1216.600586,335.5603027,102.1252899
280.0398865,1529.081665,22.68095016,63.76878738,1526.373779,15.01476192,13.63374329,1261.415894,24.80335426,-30.97586632,957.5402222,26.6611805,-47.04193878,509.9221802,31.06695557,-100.0142975,888.5611572,27.66231537,-101.9422989,781.7894897,27.81781006,-99.64909363,670.3874512,29.40067863,-101.5780487,559.4038696,30.15557098,666.463501,-562.7697754,463.4145813,674.0391235,334.1469421,99.12686157,1216.571899,335.5887451,102.1293945
